Gender,Age,I learn better by reading what the teacher writes on the chalkboard.,"When I read instructions, I remember them better.",I understand better when I read instructions.,I learn better by reading than by listening to someone.,I learn more by reading textbooks than by listening to lectures.,When the teacher tells me the instructions I understand better,"When someone tells me how to do something in class, I learn it better.",I remember things I have heard in class better than things I have read.,I learn better in class when the teacher gives a lecture.,I learn better in class when I listen to someone.,I prefer to learn by doing something in class.,"When I do things in class, I learn better.",I enjoy learning in class by doing experiments.,I understand things better in class when I participate in role-playing.,I understand things better in class when I participate in role-playing.,Learner
Male,16,3,3,4,3,2,4,3,3,2,3,4,2,2,3,3,K
Male,16,5,4,4,4,3,3,2,4,3,4,3,4,3,4,4,A
Male,18,3,4,3,3,4,2,4,3,2,2,3,2,3,3,3,A
Male,21,1,3,3,4,4,2,2,2,2,2,4,4,4,4,5,K
Female,21,4,4,4,5,5,4,4,3,4,4,5,5,5,3,3,A
Male,21,2,3,2,3,3,3,1,4,3,5,1,2,4,1,2,V
Female,21,3,3,4,3,3,3,4,4,5,3,3,5,3,4,4,K
Male,21,2,3,3,4,4,4,5,5,5,5,5,5,5,3,3,V
Female,21,5,5,5,5,4,4,4,4,4,4,3,4,5,5,5,A
Male,21,1,3,4,4,3,3,3,4,2,2,5,5,5,5,5,K
Female,19,3,5,4,4,4,3,3,3,3,3,3,3,4,4,4,A
Male,21,3,3,4,3,4,3,3,3,3,4,3,4,4,3,3,K
Female,21,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,K
Male,21,4,1,1,5,3,5,2,3,3,4,2,4,2,5,3,V
Male,19,3,4,3,1,2,5,5,4,4,5,5,5,5,5,5,K
Male,10,5,5,5,5,5,4,3,5,2,4,5,2,4,3,4,A
Female,20,1,5,5,2,1,3,5,5,5,5,5,5,5,4,4,K
Female,21,3,3,3,3,2,5,4,4,4,3,4,4,4,4,4,K
Female,20,4,4,4,5,5,3,3,1,2,3,3,3,3,1,1,A
Female,20,4,3,3,4,3,4,4,3,5,3,3,3,2,4,4,V
Male,21,4,4,4,4,2,3,3,3,3,4,3,3,3,3,3,A
Female,18,3,2,5,4,4,4,4,3,3,3,3,4,5,3,2,A
Female,20,5,5,5,3,2,5,5,5,5,5,5,5,5,4,4,V
Male,20,2,3,5,5,3,1,2,2,1,4,1,1,4,4,4,A
Female,20,3,4,4,3,4,3,4,2,2,4,2,1,4,3,3,A
Female,21,4,4,4,4,3,4,4,2,3,3,4,4,4,4,3,K
Female,20,5,3,3,2,2,3,5,3,3,5,5,4,3,4,4,K
Male,21,3,5,3,4,2,4,3,4,3,1,3,3,3,2,3,A
Female,20,3,2,4,3,2,5,4,3,3,4,4,2,4,2,2,V
Male,20,2,3,3,2,2,3,4,4,2,4,4,4,5,5,5,K
Male,19,3,3,4,2,1,4,4,4,3,4,4,4,3,4,4,K
Male,20,4,4,3,2,3,4,4,3,4,3,4,4,4,4,4,K
Male,20,4,2,3,5,5,3,3,2,5,4,3,3,3,2,2,A
Female,21,3,5,2,3,3,4,3,4,3,4,4,4,3,4,4,K
Female,19,2,4,3,3,4,2,3,2,2,2,5,5,5,5,5,K
Female,17,2,5,5,3,5,2,3,1,2,1,3,3,5,2,2,A
Female,17,5,4,4,5,3,5,4,5,5,1,5,5,5,4,4,K
Male,19,2,2,3,3,2,5,2,2,2,2,3,2,5,5,5,K
Male,21,4,3,4,1,2,4,5,3,4,4,5,5,5,5,5,K
Male,19,5,5,5,1,1,5,5,1,5,5,5,5,3,5,5,K
Male,19,5,4,4,2,2,5,5,5,5,5,5,5,5,4,4,V
Male,19,3,3,3,3,3,3,3,3,3,3,5,4,3,4,4,K
Male,21,3,2,3,5,3,4,4,4,4,5,4,5,4,3,3,V
Female,18,4,4,3,3,3,3,3,3,2,3,4,4,4,2,2,A
Female,21,3,4,4,3,4,3,3,3,3,3,3,4,4,3,3,A
Male,20,3,2,2,1,3,4,5,3,3,3,3,4,5,4,5,K
Male,21,2,4,5,2,1,4,5,4,5,5,5,5,5,5,5,K
Male,21,2,3,3,3,3,3,3,4,5,3,3,3,3,3,3,V
Male,21,2,3,4,3,2,4,4,3,4,4,5,5,5,5,4,K
Male,21,1,4,4,3,3,3,3,3,3,4,3,4,5,4,5,K
Female,21,5,3,5,5,5,5,3,3,2,3,2,2,5,4,4,A
Female,18,5,3,3,2,3,4,4,4,5,1,3,4,5,2,5,K
Female,21,4,2,5,2,2,4,5,2,5,4,4,2,4,4,4,V
Male,18,3,4,4,3,4,3,3,2,3,4,3,2,3,3,3,A
Male,18,3,3,4,3,2,2,2,3,2,4,4,4,4,4,3,K
Male,19,3,4,4,4,3,3,2,4,2,2,3,3,4,3,2,A
Male,20,3,2,2,2,2,2,3,2,3,3,2,2,3,3,3,K
Male,20,3,2,2,2,2,2,3,2,3,3,2,2,3,3,3,K
Male,20,4,4,3,3,4,4,3,2,3,3,3,3,3,3,3,A
Male,20,3,3,3,4,2,2,2,2,3,3,3,2,2,2,2,A
Male,20,3,3,3,4,2,2,2,2,3,3,3,2,2,2,2,A
Male,20,2,4,4,5,5,4,3,3,3,2,2,2,2,3,3,A
Male,20,2,3,3,2,2,3,2,2,1,3,2,3,3,2,1,A
Male,21,2,3,4,2,2,1,2,2,1,2,2,3,3,3,3,K
Male,21,3,2,3,3,2,3,3,2,2,3,2,2,2,4,3,K
Male,21,2,2,4,3,4,4,3,2,3,3,5,5,3,3,3,K
Female,20,3,3,2,4,4,5,4,3,4,4,5,3,4,5,4,K
Female,21,4,4,5,5,3,4,3,4,3,3,4,5,3,4,5,K
Female,20,3,3,2,2,2,3,4,3,3,2,2,3,2,3,3,V
Male,17,3,3,2,2,5,4,4,3,3,4,4,4,5,4,4,K
Male,21,4,4,3,4,4,3,3,4,4,4,3,4,3,3,3,A
Male,21,4,4,4,3,3,2,2,3,3,3,2,3,3,3,2,A
Male,21,3,2,2,3,4,4,4,4,5,4,3,4,4,3,3,V
